 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  The Ruy Lopez also known as the Spanish Game. Or the Spanish Torture.
 [ B h6 ]  [ R e8 ]  [ B c4 + ]  [ e6 ]  [ B f4 ] , [ Q e7 ]  My position is very tight but surprisingly allows for a decent counter-attack.
 [ d x e5 ]  [ d x e5 ] , [ Q x d8 + ]  Unpinning the Knight.
 [ c x d4 ] , [ e x d4 ]  Not interested in exchanging pieces so soon I'm not going for a draw. My pawns are solid and they will keep so.
 [ K e7 ]  [ B c4 ]  [ d5 ]  [ e x d5 ] , [ B x f2 + ]  A blunder by black leading to 8.[ K x f2 ] [ N x d5 ] 9.[ R f1 ] [ h6 ] 10.[ N f3 ] [ B e6 ] 11.[ d3 ] [ Q d6 ] 12.[ K g1 ] [ R a f8 ] 13.[ Q e1 ] [ K d8 ] 14.[ N c3 ] [ N x c3 ] 15.[ B x e6 ] [ Q x e6 ] 16.[ Q x c3 ] [ K c8 ] Where white is winning outright.
 [ B h7 ]  [ f4 ]  [ B d6 ]  [ f5 ] , [ O-O-O ]  So far Nimzowitsch hasn't paid off... Back to the books... So I needed a miracle... The threat [ B x h2 + ] is probably strong enough for now...
 [ d3 ]  [ R a b8 ] , [ B b2 ]  Defensive now Black gets a clear edge.
 [ R b8 ] , [ B c6 ]  Continuing to press.
 [ e5 ]  [ B g3 ] , [ B e7 ]  This impressive center is a lot less potent without a Queen to provide attacking chances. White is clearly better and Black is fighting to draw.
 [ R e2 ] , [ d5 ]  Cutting off any thoughts of [ B x e6 ] which could have been an attractive sacrifice if White could have got more pieces out before Black castled.
 [ h6 ]  [ N x d6 ]  [ Q x d6 ]  [ B f4 ]  [ Q e6 ]  [ R a c1 ]  [ N b6 ]  [ R f e1 ]  [ R e8 ] , [ B e5 ]  practically forced: after Nc3? [ Q x e1 + ] [ R x e1 ] [ R x e1 + ] [ B f1 ] [ B h3 ] all is over...
 [ K e3 ] , [ B x e5 ]  Bishop now takes pawn freely
 [ g5 ] , [ B x g5 ]  At least I get a pawn in return. It's true that I'm being overoptimistic but with no way out I think positive as opposed to negative. It's also important to note that being this way has helped me to improve as well.
 [ K x f7 ] , [ K h3 ]  ?
 [ d x e5 ]  [ d x e5 ]  [ N h5 ]  [ Q e4 ]  [ N x f4 ] , [ Q x f4 ]  I'm liking the idea of the B on [ c4 ] with the queen aiming down at that [ f7 ] square Notice how the rook is trapped in by his own pawn because I didn't let him push on [ e5 ]  [ Q c7 ] , [ R f e1 ]  Bringing my rook to what is soon to be an open file. This is the first interesting position of the game. If black takes the pawn he is pinning his piece (13 ... [ B x e5 ] 14 [ N x e5 ] [ N x e5 ] or 13 ... Nxe5)
 [ R x h2 + ]  [ K g3 ] , [ R b2 ]  Nothing black could do.
 [ R b8 ]  [ R a2 ]  [ R x d4 ]  [ e x d4 ]  [ Q x f4 + ]  [ g3 ] , [ Q x d4 ]  Already a pawn and the exchange up Black has swapped the R for a B and 2 pawns so is still material up: 3 pawns.
 [ d3 ]  [ Q x h1 ]  [ B b5 + ]  [ N c6 ]  [ K f1 ]  [ B h3 + ]  [ K e2 ]  [ B g4 + ]  [ K f1 ]  [ R c8 ]  [ B x c6 + ]  [ Q x c6 ]  [ Q x c6 + ] , [ R x c6 ]  the swap.. the almighty swap!!
 [ R d6 ]  [ R a8 ] , [ R d8 ]  Black cannot prevent promotion.
 [ N c3 ]  [ c6 ] , [ R f d1 ]  ! if PxB RxB and Black got double pawns.
 [ b x c4 ] , [ Q e1 ]  Bringing my Q back towards the center of the board.
 [ e4 ]  [ c5 ]  [ N f3 ]  [ g6 ]  [ c4 ]  [ N c6 ]  [ d4 ]  [ c x d4 ] , [ N x d4 ]  This is the infamous Maroczy bind. White makes sure that black will never be able to play ...d5. The downside is potentially weak central dark squares which the "dragon bishop" on [ g7 ] may be able to exploit.
 [ N f3 ]  [ f6 ]  [ O-O ]  [ K f7 ]  [ N b d2 ] , [ B d6 ]  12. .......... [ B d6 ] - but I still have work to do.
 [ K g7 ] , [ K c3 ]  ...so I move my king back one rank. I was thinking of [ N g4 ] then [ R g5 ] to allow my kingside pawns to advance to the 6th rank...
 [ B g5 ] , [ B e6 ]  Countering the pin with a developing move that guards the QP.
 [ B x c3 ] , [ N x c3 ]  thought about [ b x c3 ] but then he plays [ d5 ] so decided to play [ N x c3 ] instead
 [ O-O ] , [ B d6 ]  Continuing with his development. But I was asking myself if Tom had a weakness and I realized that it was the same B since I can now pin it which I'll do.
 [ R x h2 ]  [ K x h2 ] , [ Q h4 + ]  I don't need the lock when I can get a crushing material advantage. White resigned here about to lose the P[ g4 ] and I'll leave it to you to spot all the forks that pick up all of White's pieces. I hope you all enjoyed this annotation.
 [ K d7 ]  [ h5 ]  [ R b2 ] , [ R h4 ]  43. [ R h4 ] - dreaming of a kingside counter-attack ....
 [ a5 ]  [ N d3 ]  [ B a6 ]  [ h5 ] , [ B x c4 ]  There was no way to defend that pawn except moving [ N c1 ] which was not worth it. Sacking the pawn was better.
 [ B d6 ]  [ B b2 ]  [ N e5 ]  [ N x e5 ]  [ B x e5 ] , [ R c1 ]  The bishops are poised for attack once [ c4 ] is played
 [ c5 ]  [ B e2 ]  [ N c6 ] , [ O-O ]  At first sight this looks solid for white. However If I can brake up the center the black squares might become available for my dark bisschop. I believe we got an equal position here.
 [ K h1 ] , [ N g4 ]  Remembering the Budapest.
 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ]  [ B b5 ]  [ a6 ]  [ B a4 ]  [ N f6 ]  [ O-O ]  [ B e7 ]  [ R e1 ] , [ d6 ]  And we here folks have a closed Ruy-Lopez: steinitz-like variation!
 [ d5 ]  [ N f3 ]  [ g6 ]  [ e4 ]  [ d x e4 ]  [ N g5 ]  [ N f6 ]  [ B c4 ]  [ B g4 ]  [ B x f7 + ]  [ K d7 ]  [ Q x g4 + ]  [ N x g4 ]  [ B e6 + ]  [ K e8 ]  [ B x g4 ]  [ e5 ]  [ O-O ]  [ e x f4 ]  [ N x e4 ] , [ Q d4 + ]  This check seems strong.
 [ Q e6 ] , [ Q d1 ]  I would have preferred to develop by 20.[ B b2 ] which also protects the vital points against invasion. But the text is OK: White has a winning plus.
 [ Q e2 ] , [ B a6 ]  The fourth move of this bishop.
 [ a3 ] , [ N d4 ]  Putting some pressure on Raz's pinned knight. Also aiming to disrupt his kingside pawns.
 [ K g1 ] , [ B e3 + ]  30. .... [ B e3 + ] - in comes black's dsb to join in the attack? Can Henry survive? If he does then I do have a 4 point material advantage to play with which could be decisive.
 [ B x e7 ]  [ Q x e7 ] , [ B x b5 ]  ???
 [ e4 ]  [ c5 ]  [ N c3 ]  [ N c6 ]  [ g3 ]  [ g6 ]  [ B g2 ]  [ B g7 ]  [ d3 ]  [ N f6 ]  [ h3 ]  [ d6 ]  [ N g e2 ]  [ O-O ]  [ B e3 ] , [ R b8 ]  All book so far. [ R b8 ] can be a testing line but if Black plays [ b5 ] he needs to be wary of threats of [ e5 ] after [ f4 ] potentially hitting both knights
 [ e x d4 ] , [ Q x d4 ]  I took with my queen partly to try to surprise my opponent.
 [ N c6 ]  [ a3 ]  [ c x d4 ]  [ e x d4 ]  [ B d6 ]  [ N b d2 ]  [ O-O ] , [ O-O ]  This is often the tabiya White has to work with. There are several options for the middle game.
 [ K f6 ] , [ a5 ]  Never have 4 little steps looked so far. The pawn takes the first step.
 [ B e2 ] , [ O-O-O ]  Still focusing on the QP.
 [ N f5 ]  [ Q f6 ] , [ g4 ]  White's steadily building up pressure on the kingside...
 [ R h8 + ]  [ Q h3 ]  [ R x h3 + ]  [ K x h3 ] , [ Q x g3 # ]  
 [ N e5 ] , [ B b3 ]  Now I have a shadow of a grimp on d3. I'll try to exploit this.
 [ f3 ] , [ N e8 ]  Ah now I see his plan. Pretty good. Now I will lose my bishop pair since I must take the knight with my beloved [ g3 ] bishop or I would have had problems pushing my a pawn with so many black pieces around there. I analyzed some variants leaving his knight in [ d6 ] and I didn't see a victory so I came back to the previous "exchange" plan. But again with a "detour".
