 [ Q x d7 ] , [ B e2 ]  Developing her remaining piece. The only issue is that the remaining piece is her bad bishop since her pawns block it in but Sue is ahead which compensates for that.
 [ Q x h2 + ] , [ K f1 ]  Now my blindness. I didnt' considered 21. ... Rf8. Now he can save the knight winning a second piece. Say 22. Ng3. But then I can take [ R x [ f2 ] ] and mate. And if he protects [ f2 ] with 23. [ R e2 ] Qh1#. And if 22. [ N e7 ] I simply play [ K d7 ] while 22. [ f3 ] loses the queen. It appears as if even if white has a move he can't use it to save the game. The only choice seems to be 22. [ K e2 ] since after Qx[ f2 ] 23. [ K d1 ] QxQ 24.QxQ e6[ x f5 ] and despite the quality black pawns should win but the game is still playable. But meybe black has an even better choice: after 22. [ K e2 ] Nxf7... what? The threat is to win the white queen with the knight after the discovered check. So let's take a look at the possible moves for white. A) 23. [ R [ h1 ] ] doesn't help after [ N x [ h1 ] ] and now white have to choose between 1) 24. [ K d1 ] [ Q g1 ] 25. [ Q e1 ] QxQ 26. KxQ and after RxN black wins or 25. [ K e2 ] and Q[ x R a1 ] or even 25. ... [ Q g4 ] 26. [ K e6 ] RxN and white cannot take the [ N [ h1 ] ] because of [ R f5 ] [ K e2 ] and [ Q g2 ] winning the rook or 2) 24. [ K d6 ] [ Q h3 ] and now white again have to choose between 25. [ N e3 ] N[ f2 ] 26. [ K e2 ] Q[ f3 ] 27. [ K e1 ] Q[ x R a1 ] winning or 25. [ Q e3 ] QxN 26. [ K d2 ] Q[ f2 ] 27. QxQ and black wins because can save the [ h1 ] knight both with RxQ or NxQ (28. [ R f1 ] Rf6!). Last chance for white: B) 23. [ Q b4 ] threatening the rook... but while the simple RxN balances the material [ N e4 ] or [ N g4 ] require more work (23. ... [ N g4 ] 24. [ K d3 ] RxN 25. [ R x e6 ] R[ f3 ] 26. [ K c4 ] [ N e3 ] 27. RxN ([ K c5 ] [ R f5 ] and mate...). I didn't see it. Did I lose the occasion to be a Morphy? :-))))))
 [ B d7 ]  [ N b5 ]  [ B x b5 ] , [ B x b5 + ]  Gaining the bishop pair in an open center game.
 [ K g1 ]  [ g2 ]  [ R h2 ] , [ K g3 ]  Now white has only pawn moves or losing his rook.
 [ R x a5 ]  [ R f8 ] , [ g4 ]  Prevents (27...[ R f1 ] ).
 [ O-O ]  [ B e2 ] , [ c5 ]  [ e5 ] is the main line
 [ B c6 ]  [ Q h3 ]  [ K g7 ] , [ R g3 ]  Good move - if white Queen attacks the rook will prevent checks from the black Queen. At the same time the pressure on [ d3 ] is stronger
 [ R x e7 ] , [ R d8 + ]  ...and line up another potential checkmate...
 [ R x e2 ] , [ Q x e2 ]  33. [ Q x e2 ] - Glenda is still eyeing up that [ e8 ] square threatening to come down on it with check and menace the black kingside pawns possibly even the queenside pawns should the Wicked Witch of the West block her check on e8. But Hector has other ideas he decided to give his king some luft with 33. ...... g6.
 [ g x f6 ]  [ Q x f6 + ] , [ K e8 ]  (anything else loses the rook)
